x, y, z
-63.650000, 30.425000, 52.500000
-63.666667, 30.416667, 53.333333
-63.683333, 30.408333, 54.166667
-63.700000, 30.400000, 55.000000
-63.766667, 30.383333, 55.000000
-63.833333, 30.366667, 55.000000
-63.900000, 30.350000, 55.000000
-63.966667, 30.333333, 55.000000
-64.033333, 30.316667, 55.000000
-64.100000, 30.300000, 55.000000
-64.166667, 30.283333, 55.000000
-64.233333, 30.266667, 55.000000
-64.300000, 30.250000, 55.000000
-64.366667, 30.233333, 55.000000
-64.433333, 30.216667, 55.000000
-64.500000, 30.200000, 55.000000
-64.566667, 30.191667, 55.000000
-64.633333, 30.183333, 55.000000
-64.700000, 30.175000, 55.000000
-64.766667, 30.166667, 55.000000
-64.833333, 30.158333, 55.000000
-64.900000, 30.150000, 55.000000
-64.966667, 30.141667, 55.000000
-65.033333, 30.133333, 55.000000
-65.100000, 30.125000, 55.000000
-65.166667, 30.116667, 55.000000
-65.233333, 30.108333, 55.000000
-65.300000, 30.100000, 55.000000
-65.375000, 30.091667, 55.000000
-65.450000, 30.083333, 55.000000
-65.525000, 30.075000, 55.000000
-65.600000, 30.066667, 55.000000
-65.675000, 30.058333, 55.000000
-65.750000, 30.050000, 55.000000
-65.825000, 30.041667, 55.000000
-65.900000, 30.033333, 55.000000
-65.975000, 30.025000, 55.000000
-66.050000, 30.016667, 55.000000
-66.125000, 30.008333, 55.000000
-66.200000, 30.000000, 55.000000
-66.275000, 29.991667, 55.416667
-66.350000, 29.983333, 55.833333
-66.425000, 29.975000, 56.250000
-66.500000, 29.966667, 56.666667
-66.575000, 29.958333, 57.083333
-66.650000, 29.950000, 57.500000
-66.725000, 29.941667, 57.916667
-66.800000, 29.933333, 58.333333
-66.875000, 29.925000, 58.750000
-66.950000, 29.916667, 59.166667
-67.025000, 29.908333, 59.583333
-67.100000, 29.900000, 60.000000
-67.175000, 29.883333, 60.000000
-67.250000, 29.866667, 60.000000
-67.325000, 29.850000, 60.000000
-67.400000, 29.833333, 60.000000
-67.475000, 29.816667, 60.000000
-67.550000, 29.800000, 60.000000
-67.625000, 29.783333, 60.000000
-67.700000, 29.766667, 60.000000
-67.775000, 29.750000, 60.000000
-67.850000, 29.733333, 60.000000
-67.925000, 29.716667, 60.000000
-68.000000, 29.700000, 60.000000
-68.083333, 29.683333, 60.000000
-68.166667, 29.666667, 60.000000
-68.250000, 29.650000, 60.000000
-68.333333, 29.633333, 60.000000
-68.416667, 29.616667, 60.000000
-68.500000, 29.600000, 60.000000
-68.583333, 29.583333, 60.000000
-68.666667, 29.566667, 60.000000
-68.750000, 29.550000, 60.000000
-68.833333, 29.533333, 60.000000
-68.916667, 29.516667, 60.000000
-69.000000, 29.500000, 60.000000
-69.083333, 29.500000, 60.000000
-69.166667, 29.500000, 60.000000
-69.250000, 29.500000, 60.000000
-69.333333, 29.500000, 60.000000
-69.416667, 29.500000, 60.000000
-69.500000, 29.500000, 60.000000
-69.583333, 29.500000, 60.000000
-69.666667, 29.500000, 60.000000
-69.750000, 29.500000, 60.000000
-69.833333, 29.500000, 60.000000
-69.916667, 29.500000, 60.000000
-70.000000, 29.500000, 60.000000
-70.083333, 29.508333, 59.583333
-70.166667, 29.516667, 59.166667
-70.250000, 29.525000, 58.750000
-70.333333, 29.533333, 58.333333
-70.416667, 29.541667, 57.916667
-70.500000, 29.550000, 57.500000
-70.583333, 29.558333, 57.083333
-70.666667, 29.566667, 56.666667
-70.750000, 29.575000, 56.250000
-70.833333, 29.583333, 55.833333
-70.916667, 29.591667, 55.416667
-71.000000, 29.600000, 55.000000
-71.083333, 29.608333, 55.000000
-71.166667, 29.616667, 55.000000
-71.250000, 29.625000, 55.000000
-71.333333, 29.633333, 55.000000
-71.416667, 29.641667, 55.000000
-71.500000, 29.650000, 55.000000
-71.583333, 29.658333, 55.000000
-71.666667, 29.666667, 55.000000
-71.750000, 29.675000, 55.000000
-71.833333, 29.683333, 55.000000
-71.916667, 29.691667, 55.000000
-72.000000, 29.700000, 55.000000
-72.066667, 29.725000, 55.000000
-72.133333, 29.750000, 55.000000
-72.200000, 29.775000, 55.000000
-72.266667, 29.800000, 55.000000
-72.333333, 29.825000, 55.000000
-72.400000, 29.850000, 55.000000
-72.466667, 29.875000, 55.000000
-72.533333, 29.900000, 55.000000
-72.600000, 29.925000, 55.000000
-72.666667, 29.950000, 55.000000
-72.733333, 29.975000, 55.000000
-72.800000, 30.000000, 55.000000
-72.866667, 30.008333, 55.000000
-72.933333, 30.016667, 55.000000
-73.000000, 30.025000, 55.000000
-73.066667, 30.033333, 55.000000
-73.133333, 30.041667, 55.000000
